,secID,ticker,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
141,000001.XSHE,1,XSHE,2015/7/31,12.26,12.26,12.16,12.42,12.02,12.36,120274687,1472860296,34012,0.0102,0.787712216,1.46E+11,1.77E+11,0.0082,8.2972,7.6329,1.1722,1,12.246
142,000001.XSHE,1,XSHE,2015/8/3,12.36,12.36,12.2,12.85,12.15,12.82,140512271,1757739733,47389,0.0119,0.787712216,1.51E+11,1.83E+11,0.0372,8.606,7.917,1.2158,1,12.51
143,000001.XSHE,1,XSHE,2015/8/4,12.82,12.82,12.77,12.99,12.59,12.86,77493758,988843500.5,36103,0.0066,0.787712216,1.52E+11,1.84E+11,0.0031,8.6329,7.9417,1.2196,1,12.76
144,000001.XSHE,1,XSHE,2015/8/5,12.86,12.86,12.8,12.95,12.57,12.59,55180237,704539354.3,46538,0.0047,0.787712216,1.49E+11,1.80E+11,-0.021,8.4516,7.775,1.194,1,12.768
145,000001.XSHE,1,XSHE,2015/8/6,12.59,12.59,12.5,12.73,12.43,12.53,45021845,567208519.2,19080,0.0038,0.787712216,1.48E+11,1.79E+11,-0.0048,8.4113,7.7379,1.1883,1,12.599
146,000001.XSHE,1,XSHE,2015/8/7,12.53,12.53,12.61,12.72,12.54,12.61,62201030,785501392,28213,0.0053,0.787712216,1.49E+11,1.80E+11,0.0064,8.465,7.7873,1.1959,1,12.628
147,000001.XSHE,1,XSHE,2015/8/10,12.61,12.61,12.66,12.99,12.55,12.92,105311195,1346325151,47460,0.0089,0.787712216,1.53E+11,1.85E+11,0.0246,8.6731,7.9788,1.2253,1,12.784
148,000001.XSHE,1,XSHE,2015/8/11,12.92,12.92,12.91,12.95,12.79,12.84,82849336,1065323949,35269,0.007,0.787712216,1.52E+11,1.84E+11,-0.0062,8.6194,7.9294,1.2177,1,12.859
149,000001.XSHE,1,XSHE,2015/8/12,12.84,12.84,12.69,12.77,12.56,12.57,68682207,869580822.8,30908,0.0058,0.787712216,1.48E+11,1.80E+11,-0.021,8.4382,7.7626,1.1921,1,12.661
150,000001.XSHE,1,XSHE,2015/8/13,12.57,12.57,12.51,12.67,12.42,12.57,60634441,760265710.3,28254,0.0051,0.787712216,1.48E+11,1.80E+11,0,8.4382,7.7626,1.1921,1,12.539
151,000001.XSHE,1,XSHE,2015/8/14,12.57,12.57,12.69,12.75,12.58,12.64,82378929,1043762738,31776,0.007,0.787712216,1.49E+11,1.81E+11,0.0056,8.4852,7.8059,1.1987,1,12.67
152,000001.XSHE,1,XSHE,2015/8/17,12.64,12.64,12.61,12.69,12.45,12.54,67964257,852588992,31404,0.0058,0.787712216,1.48E+11,1.79E+11,-0.0079,8.4181,7.7441,1.1892,1,12.545
153,000001.XSHE,1,XSHE,2015/8/18,12.54,12.54,12.5,12.74,11.95,12.27,117632441,1459671045,56468,0.01,0.787712216,1.45E+11,1.76E+11,-0.0215,8.2368,7.5774,1.1636,1,12.409
154,000001.XSHE,1,XSHE,2015/8/19,12.27,12.27,12.1,12.23,11.9,12.23,95889423,1157078548,46687,0.0081,0.787712216,1.44E+11,1.75E+11,-0.0033,8.21,7.5527,1.1598,1,12.067
155,000001.XSHE,1,XSHE,2015/8/20,12.23,12.23,12.17,12.17,11.9,12.05,67763439,815652760.5,32581,0.0057,0.787712216,1.42E+11,1.72E+11,-0.0147,8.0891,7.4415,1.1428,1,12.037
156,000001.XSHE,1,XSHE,2015/8/21,12.05,12.05,11.9,11.99,11.46,11.5,93336784,1095668268,46906,0.0079,0.787712216,1.36E+11,1.65E+11,-0.0456,7.7199,7.1018,1.0906,1,11.739
157,000001.XSHE,1,XSHE,2015/8/24,11.5,11.5,11.1,11.17,10.35,10.35,151802968,1601529035,63979,0.0129,0.787712216,1.22E+11,1.48E+11,-0.1,6.9479,6.3917,0.9815,1,10.55
158,000001.XSHE,1,XSHE,2015/8/25,10.35,10.35,9.85,10.35,9.32,9.46,219233375,2122788585,75363,0.0186,0.787712216,1.12E+11,1.35E+11,-0.086,6.3505,5.842,0.8971,1,9.683
159,000001.XSHE,1,XSHE,2015/8/26,9.46,9.46,9.6,10.23,9.3,9.91,249191959,2460482141,86152,0.0211,0.787712216,1.17E+11,1.42E+11,0.0476,6.6525,6.1199,0.9398,1,9.874
160,000001.XSHE,1,XSHE,2015/8/27,9.91,9.91,10.16,10.9,9.86,10.8,184923565,1912163266,66783,0.0157,0.787712216,1.27E+11,1.55E+11,0.0898,7.25,6.6696,1.0242,1,10.34
161,000001.XSHE,1,XSHE,2015/8/28,10.8,10.8,10.89,11.09,10.55,10.83,160802969,1728745630,63080,0.0136,0.787712216,1.28E+11,1.55E+11,0.0028,7.2701,6.6881,1.0271,1,10.751
162,000001.XSHE,1,XSHE,2015/8/31,10.83,10.83,10.71,11.07,10.48,11.07,146429725,1578261442,52040,0.0124,0.787712216,1.31E+11,1.58E+11,0.0222,7.4312,6.8363,1.0498,1,10.778
163,000001.XSHE,1,XSHE,2015/9/1,11.07,11.07,10.9,11.61,10.61,11.57,265766135,3003860704,79498,0.0225,0.787712216,1.37E+11,1.66E+11,0.0452,7.7669,7.1451,1.0972,1,11.303
164,000001.XSHE,1,XSHE,2015/9/2,11.57,11.57,11.18,12,11.06,11.84,281574676,3273803293,71363,0.0239,0.787712216,1.40E+11,1.69E+11,0.0233,7.9481,7.3118,1.1228,1,11.627
